index:72;(-0.7, -0.2, 0.7, 1.0)
index:73;(-0.3, -0.2, 0.9, 1.0)
index:74;(0.0, 0.0, 1.0, 1.0)
index:75;(0.9, 0.0, 0.3, 1.0)
index:76;(0.5, 0.0, 0.8, 1.0)
index:77;(0.9, 0.0, 0.5, 1.0)
index:78;(1.0, 0.0, 0.0, 1.0)
index:79;(0.9, 0.0, -0.3, 1.0)
index:80;(0.9, 0.0, -0.5, 1.0)
index:81;(0.5, 0.0, -0.8, 1.0)
index:82;(0.0, 0.0, -1.0, 1.0)
index:83;(-0.5, 0.0, -0.8, 1.0)
index:84;(-0.9, 0.0, -0.5, 1.0)
index:85;(-0.9, 0.0, -0.3, 1.0)
index:86;(-1.0, 0.0, 0.0, 1.0)
index:87;(-0.9, 0.0, 0.5, 1.0)
index:88;(-0.9, 0.0, 0.3, 1.0)
index:89;(-0.5, 0.0, 0.8, 1.0)
index:90;(0.3, 0.2, 0.9, 1.0)
index:91;(0.7, 0.2, 0.7, 1.0)
index:92;(0.7, 0.2, -0.7, 1.0)
index:93;(0.3, 0.2, -0.9, 1.0)
index:94;(-0.3, 0.2, -0.9, 1.0)
index:95;(-0.7, 0.2, -0.7, 1.0)
index:96;(-0.7, 0.2, 0.7, 1.0)
index:97;(-0.3, 0.2, 0.9, 1.0)
index:98;(0.8, 0.3, 0.4, 1.0)
index:99;(0.9, 0.3, 0.2, 1.0)
index:100;(0.9, 0.3, -0.2, 1.0)
index:101;(0.8, 0.3, -0.4, 1.0)
index:102;(-0.8, 0.3, -0.4, 1.0)
index:103;(-0.9, 0.3, -0.2, 1.0)
index:104;(-0.9, 0.3, 0.2, 1.0)
index:105;(-0.8, 0.3, 0.4, 1.0)
index:106;(0.0, 0.3, -0.9, 1.0)
index:107;(0.5, 0.3, 0.8, 1.0)
index:108;(0.5, 0.3, -0.8, 1.0)
index:109;(-0.5, 0.3, -0.8, 1.0)
index:110;(0.0, 0.3, 0.9, 1.0)
index:111;(-0.5, 0.3, 0.8, 1.0)
index:112;(0.7, 0.4, 0.6, 1.0)
index:113;(0.3, 0.4, 0.8, 1.0)
index:114;(0.7, 0.4, -0.6, 1.0)
index:115;(-0.7, 0.4, -0.6, 1.0)
index:116;(0.3, 0.4, -0.8, 1.0)
index:117;(-0.3, 0.4, -0.8, 1.0)
index:118;(-0.7, 0.4, 0.6, 1.0)
index:119;(-0.3, 0.4, 0.8, 1.0)
index:120;(0.8, 0.5, 0.3, 1.0)
index:121;(0.8, 0.5, 0.0, 1.0)
index:122;(0.8, 0.5, -0.3, 1.0)
index:123;(0.0, 0.5, 0.9, 1.0)
index:124;(-0.8, 0.5, -0.3, 1.0)
index:125;(-0.8, 0.5, 0.0, 1.0)
index:126;(-0.8, 0.5, 0.3, 1.0)
index:127;(0.4, 0.6, 0.7, 1.0)
index:128;(0.0, 0.5, -0.9, 1.0)
index:129;(0.4, 0.6, -0.7, 1.0)
index:130;(-0.4, 0.6, -0.7, 1.0)
index:131;(-0.4, 0.6, 0.7, 1.0)
index:132;(0.6, 0.7, 0.4, 1.0)
index:133;(0.6, 0.7, -0.4, 1.0)
index:134;(0.2, 0.7, 0.7, 1.0)
index:135;(-0.6, 0.7, -0.4, 1.0)
index:136;(0.2, 0.7, -0.7, 1.0)
index:137;(-0.2, 0.7, -0.7, 1.0)
index:138;(-0.6, 0.7, 0.4, 1.0)
index:139;(0.7, 0.7, 0.2, 1.0)
index:140;(0.7, 0.7, -0.2, 1.0)
index:141;(-0.7, 0.7, -0.2, 1.0)
index:142;(-0.7, 0.7, 0.2, 1.0)
index:143;(-0.2, 0.7, 0.7, 1.0)
index:144;(0.0, 0.8, 0.5, 1.0)
index:145;(0.3, 0.8, 0.5, 1.0)
index:146;(0.0, 0.8, -0.5, 1.0)
index:147;(0.4, 0.8, 0.3, 1.0)
index:148;(0.3, 0.8, -0.5, 1.0)
index:149;(0.4, 0.8, -0.3, 1.0)
index:150;(-0.3, 0.8, -0.5, 1.0)
index:151;(-0.4, 0.8, -0.3, 1.0)
index:152;(0.5, 0.9, 0.0, 1.0)
index:153;(-0.4, 0.8, 0.3, 1.0)
index:154;(-0.5, 0.9, 0.0, 1.0)
index:155;(-0.3, 0.8, 0.5, 1.0)
index:156;(0.2, 0.9, 0.3, 1.0)
index:157;(0.3, 0.9, 0.0, 1.0)
index:158;(0.2, 0.9, -0.3, 1.0)
index:159;(-0.2, 0.9, -0.3, 1.0)
index:160;(-0.3, 0.9, 0.0, 1.0)
index:161;(-0.2, 0.9, 0.3, 1.0)
index:162;(0.0, 1.0, 0.0, 1.0)
